studyName,location,latitude,longitude,vegetation,map,mat,grouping,lai,species,speciesMatched,family,pft,growingCondition,status,light,age,a.lf,a.ssba,a.ssbh,a.ssbc,a.shba,a.shbh,a.shbc,a.sbba,a.sbbh,a.sbbc,a.stba,a.stbh,a.stbc,a.cp,a.cs,h.t,h.c,d.ba,d.bh,h.bh,d.cr,c.d,m.lf,m.ss,m.sh,m.sb,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,r.ss,r.sb,r.sh,n.lf,n.ss,n.sb,n.sh,n.rf,n.rc
Lusk2011,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,3500,NA,NA,NA,Aristotelia chilensis,Aristotelia chilensis,Elaeocarpaceae,EA,FW,NA,NA,NA,0.00018,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56E-07,NA,NA,0.000427708,0.000939777,0.027,0.01070566,0.000762,NA,NA,0.023336125,0.01629434,6.00E-06,NA,NA,NA,4.00E-06,1.00E-05,NA,NA,NA,6.00E-06,1.60E-05,3.04E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,3500,NA,NA,NA,Aristotelia chilensis,Aristotelia chilensis,Elaeocarpaceae,EA,FW,NA,NA,NA,0.00022,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96E-07,NA,NA,0.00046872,0.001009719,0.047,0.025889139,5.00E-04,NA,NA,0.024429344,0.021110861,5.00E-06,NA,NA,NA,5.00E-06,1.00E-05,NA,NA,NA,3.00E-06,1.30E-05,3.58E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2012,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,NA,NA,NA,Araucaria araucana,Araucaria araucana,Araucariaceae,EG,FW,NA,NA,NA,0.00069,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45E-05,NA,NA,0.000487784,0.00392351,0.071,0.006975311,0.0043,NA,NA,0.024921193,0.064024689,0.000126,NA,NA,NA,0.000125,0.000251,NA,NA,NA,0.000269,0.00052,1.42E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk0000a,Miranda Scenic Reserve,-37.25,175.3,TempRF,NA,NA,NA,NA,Kunzea ericoides,Kunzea ericoides,Myrtaceae,EA,FW,NA,NA,NA,5.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.07E-08,NA,NA,0.000531434,0.00291971,0.063,0.021836702,3.00E-04,NA,NA,0.026012358,0.041163298,1.30E-05,NA,NA,NA,8.00E-06,2.10E-05,NA,NA,NA,5.00E-06,2.60E-05,1.36E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk0000a,Miranda Scenic Reserve,-37.25,175.3,TempRF,NA,NA,NA,NA,Kunzea ericoides,Kunzea ericoides,Myrtaceae,EA,FW,NA,NA,NA,0.00036,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26E-07,NA,NA,0.000560725,0.001976864,0.034,0.003554027,0.000401,NA,NA,0.026719604,0.030445973,1.00E-05,NA,NA,NA,4.00E-06,1.40E-05,NA,NA,NA,8.00E-06,2.20E-05,1.44E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delagrange0000a,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,plot_ID = 147; Subplot_ID = D,NA,Acer saccharum,Acer saccharum,Aceraceae,DA,FW,0,under 8% PPFD,NA,0.002367,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27E-06,NA,NA,0.000572555,NA,0.095,0.025,0.0017,NA,NA,0.027,0.07,6.90E-05,NA,NA,NA,8.50E-05,0.000154,NA,NA,NA,7.60E-05,0.00023,NA,0.029150824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,3500,NA,NA,NA,Aristotelia chilensis,Aristotelia chilensis,Elaeocarpaceae,EA,FW,NA,NA,NA,3.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26E-07,NA,NA,0.000573694,0.001629747,0.049,0.021222481,0.000401,NA,NA,0.027026836,0.027777519,7.00E-06,NA,NA,NA,5.00E-06,1.20E-05,NA,NA,NA,3.00E-06,1.50E-05,4.93E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,3500,NA,NA,NA,Aristotelia chilensis,Aristotelia chilensis,Elaeocarpaceae,EA,FW,NA,NA,NA,0.00028,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96E-07,NA,NA,0.000602185,0.001673037,0.034,0.007141225,5.00E-04,NA,NA,0.027689813,0.026858775,7.00E-06,NA,NA,NA,5.00E-06,1.20E-05,NA,NA,NA,4.00E-06,1.60E-05,3.50E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2012,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,NA,NA,NA,Podocarpus nubigena,Podocarpus nubigenus,Podocarpaceae,EG,FW,NA,NA,NA,0.00018,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.85E-07,NA,NA,0.000613646,0.003083823,0.05,0,0.001,NA,NA,0.027952072,0.05,9.00E-06,NA,NA,NA,4.00E-06,1.30E-05,NA,NA,NA,2.10E-05,3.40E-05,7.37E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk0000a,Miranda Scenic Reserve,-37.25,175.3,TempRF,NA,NA,NA,NA,Kunzea ericoides,Kunzea ericoides,Myrtaceae,EA,FW,NA,NA,NA,0.00055,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26E-07,NA,NA,0.00062647,0.004574475,0.06,0,0.000401,NA,NA,0.028242634,0.06,2.20E-05,NA,NA,NA,8.00E-06,3.00E-05,NA,NA,NA,1.10E-05,4.10E-05,1.41E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,3500,NA,NA,NA,Nothofagus dombeyi,Nothofagus dombeyi,Nothofagaceae,EA,FW,NA,NA,NA,0.00025,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.85E-07,NA,NA,0.000629134,0.001472538,0.057,0.03555372,0.001,NA,NA,0.02830262,0.02144628,1.10E-05,NA,NA,NA,1.30E-05,2.40E-05,NA,NA,NA,8.00E-06,3.20E-05,5.01E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,3500,NA,NA,NA,Amomyrtus luma,Amomyrtus luma,Myrtaceae,EA,FW,NA,NA,NA,0.00053,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26E-07,NA,NA,0.000667267,0.002371636,0.047,0.01764141,0.000401,NA,NA,0.02914774,0.02935859,2.20E-05,NA,NA,NA,1.40E-05,3.60E-05,NA,NA,NA,1.50E-05,5.10E-05,5.29E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delagrange0000a,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,plot_ID = 145; Subplot_ID = B,NA,Acer saccharum,Acer saccharum,Aceraceae,DA,FW,0,under 8% PPFD,NA,0.025552,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.16E-06,NA,NA,0.000671957,NA,0.262,0.255,0.0028,NA,NA,0.02925,0.007,0.0002938,NA,NA,NA,0.0009393,0.0012331,NA,NA,NA,0.0010099,0.002243,NA,0.011498121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
