studyName,location,latitude,longitude,vegetation,map,mat,grouping,lai,species,speciesMatched,family,pft,growingCondition,status,light,age,a.lf,a.ssba,a.ssbh,a.ssbc,a.shba,a.shbh,a.shbc,a.sbba,a.sbbh,a.sbbc,a.stba,a.stbh,a.stbc,a.cp,a.cs,h.t,h.c,d.ba,d.bh,h.bh,d.cr,c.d,m.lf,m.ss,m.sh,m.sb,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,r.ss,r.sb,r.sh,n.lf,n.ss,n.sb,n.sh,n.rf,n.rc
Kohyama1994,"Yakushima Island, Kyushu, Japan",30.34678,130.5164,TempRF,NA,NA,NA,NA,Symplocos purnifolia,Symplocos purnifolia,Symplocaceae,EA,FW,0,NA,NA,0.00928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010386891,NA,0.19,NA,NA,NA,NA,0.115,NA,0.000485,NA,NA,NA,0.000207,0.000692,NA,NA,NA,0.000211,0.000903,NA,0.052273915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delagrange0000a,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,plot_ID = 107; Subplot_ID = D,NA,Acer saccharum,Acer saccharum,Aceraceae,DA,FW,0,under 8% PPFD,NA,0.003785,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27E-06,NA,NA,0.010386891,NA,0.125,0.03,0.0017,NA,NA,0.115,0.095,0.0001392,NA,NA,NA,0.0002831,0.0004223,NA,NA,NA,0.000352,0.0007743,NA,0.03677675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delagrange0000a,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,plot_ID = 127; Subplot_ID = B,NA,Acer saccharum,Acer saccharum,Aceraceae,DA,FE,2,under 8% PPFD,NA,0.004468,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54E-06,NA,NA,0.010386891,NA,0.114,0.045,0.0014,NA,NA,0.115,0.069,0.0001411,NA,NA,NA,0.0003365,0.0004776,NA,NA,NA,0.0002176,0.0006952,NA,0.031580125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delagrange2004,"Duchesnay, Quebec, Canada",46.91,-71.67,TempF,1220,4,Group = Shaded individuals; Last perturbation =  5,NA,Acer saccharum,Acer saccharum,Aceraceae,DA,FE,0,0.98,15,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.04E-06,NA,NA,0.010386891,NA,0.29,0.02,0.0032,NA,NA,0.115,0.27,0.00012,NA,NA,NA,0.00065,0.00077,0,0.00034,0.00067,0.00101,0.00178,NA,0.015,1040,NA,NA,NA,0.037866667,NA,NA,NA,NA,NA
Delagrange0000b,"Outaouais, Quebec, Canada",45.99722222,-75.325,TempF,870,3.9,Site = MUL5; Seedbed = DW,NA,Betula alleghaniensis,Betula alleghaniensis,Betulaceae,DA,FW,0,12.48,6,0.007146,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23E-06,NA,NA,0.010386891,NA,0.378,0.1,0.00258,NA,NA,0.115,0.278,0.00025,NA,NA,NA,0.00079,0.00104,8.00E-05,0.00016,0.00011,0.00027,0.00131,NA,0.034984607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aiba2005,"Lambir Hills National Park, Sarawak, Malaysia",4.03,113.83,TropRF,2700,26,NA,NA,Shorea ovata,Shorea ovata,Dipterocarpaceae,EA,FW,0,NA,NA,0.0031,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.46E-06,NA,NA,0.0104,NA,0.24,0.19,0.0021,NA,NA,0.115072548,0.05,0.00033,NA,NA,NA,0.00034,0.00067,0,NA,NA,0.00018,0.00085,6.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aiba2005,"Lambir Hills National Park, Sarawak, Malaysia",4.03,113.83,TropRF,2700,26,NA,NA,Shorea ovata,Shorea ovata,Dipterocarpaceae,EA,FW,0,NA,NA,0.0063,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.15E-06,NA,NA,0.0104,NA,0.38,0.19,0.0023,NA,NA,0.115072548,0.19,0.00069,NA,NA,NA,0.00049,0.00118,0,NA,NA,0.00038,0.00156,7.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delagrange0000a,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,plot_ID = 126; Subplot_ID = B,NA,Fagus grandifolia,Fagus grandifolia,Fagaceae,DA,FW,0,under 20% PPFD,NA,0.007389,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.91E-06,NA,NA,0.010500098,NA,0.22,0.07,0.0025,NA,NA,0.115625,0.15,0.0001671,NA,NA,NA,0.0005155,0.0006826,NA,NA,NA,0.0002953,0.0009779,NA,0.022614698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2012,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,NA,NA,NA,Nothofagus nitida,Nothofagus nitida,Nothofagaceae,EA,FW,NA,NA,NA,0.0023,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.55E-06,NA,NA,0.010596472,0.020939321,0.206,0.09604957,0.0033,NA,NA,0.116154411,0.10995043,0.000346,NA,NA,NA,0.000436,0.000782,NA,NA,NA,0.000853,0.001635,0.000109402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aiba2005,"Lambir Hills National Park, Sarawak, Malaysia",4.03,113.83,TropRF,2700,26,NA,NA,Shorea bracteata,Shorea bracteata,Dipterocarpaceae,EA,FW,0,NA,NA,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.80E-06,NA,NA,0.0106,NA,0.21,0.13,0.0022,NA,NA,0.116173746,0.08,0.00026,NA,NA,NA,2.00E-04,0.00046,3.00E-05,NA,NA,0.00016,0.00062,4.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2012,"Miranda, New Zealand",-37.25,175.3,TempRF,NA,NA,NA,NA,Knightia excelsa,Knightia excelsa,Proteaceae,EA,FW,NA,NA,NA,0.00189,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.80E-06,NA,NA,0.010638012,0.017581309,0.11,0.0537876,0.0022,NA,NA,0.116381861,0.0562124,0.000231,NA,NA,NA,0.000105,0.000336,NA,NA,NA,0.000209,0.000545,0.000315688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aiba2007,"Lambir Hills National Park, Sarawak, Malaysia",4.03,113.83,TropRF,2700,26,NA,NA,Shorea amplexicaulis,Shorea amplexicaulis,Dipterocarpaceae,EA,FW,0,NA,NA,0.0056,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08E-05,NA,NA,0.010676,NA,0.34,0.02,0.0037,NA,NA,0.116589474,0.32,0.000343,NA,NA,NA,0.00104,0.001383,NA,NA,NA,0.000797,0.00218,0.0022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delagrange0000a,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,plot_ID = 113; Subplot_ID = D,NA,Acer saccharum,Acer saccharum,Aceraceae,DA,FE,2,between 20 and 80% PPFD,NA,0.017051,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26E-05,NA,NA,0.010751315,NA,0.165,0.12,0.004,NA,NA,0.117,0.045,0.000867,NA,NA,NA,0.000783,0.00165,NA,NA,NA,0.000952,0.002602,NA,0.050847458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delagrange0000a,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,plot_ID = 137; Subplot_ID = E,NA,Fagus grandifolia,Fagus grandifolia,Fagaceae,DA,FE,2,under 20% PPFD,NA,0.008001,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08E-05,NA,NA,0.010751315,NA,0.17,0.1,0.0037,NA,NA,0.117,0.07,0.0002558,NA,NA,NA,0.0008796,0.0011354,NA,NA,NA,0.0007033,0.0018387,NA,0.031971004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delagrange0000a,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,plot_ID = 140; Subplot_ID = E,NA,Fagus grandifolia,Fagus grandifolia,Fagaceae,DA,FW,0,between 20 and 80% PPFD,NA,0.01627,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.14E-06,NA,NA,0.010751315,NA,0.44,0.2,0.002,NA,NA,0.117,0.24,0.0004335,NA,NA,NA,0.0012035,0.001637,NA,NA,NA,0.0005108,0.0021478,NA,0.02664413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delagrange0000a,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,plot_ID = 136; Subplot_ID = B,NA,Acer saccharum,Acer saccharum,Aceraceae,DA,FW,0,under 8% PPFD,NA,0.005127,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.14E-06,NA,NA,0.010843403,NA,0.1,0.03,0.002,NA,NA,0.1175,0.07,0.000181,NA,NA,NA,0.00017,0.000351,NA,NA,NA,0.000114,0.000465,NA,0.035303296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delagrange0000a,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,plot_ID = 142; Subplot_ID = E,NA,Acer saccharum,Acer saccharum,Aceraceae,DA,FE,2,under 20% PPFD,NA,0.006019,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.91E-06,NA,NA,0.010843403,NA,0.12,0.005,0.0025,NA,NA,0.1175,0.115,0.000188,NA,NA,NA,0.00019,0.000378,NA,NA,NA,0.000253,0.000631,NA,0.031234424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delagrange0000a,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,plot_ID = 150; Subplot_ID = C,NA,Acer saccharum,Acer saccharum,Aceraceae,DA,FW,0,between 20 and 80% PPFD,NA,0.005236,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77E-06,NA,NA,0.010843403,NA,0.202,0.05,0.0015,NA,NA,0.1175,0.152,0.0001728,NA,NA,NA,0.0004083,0.0005811,NA,NA,NA,0.000193,0.0007741,NA,0.033002292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delagrange0000a,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,plot_ID = 123; Subplot_ID = C,NA,Acer saccharum,Acer saccharum,Aceraceae,DA,FE,2,under 20% PPFD,NA,0.006699,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.14E-06,NA,NA,0.010843403,NA,0.11,0.05,0.002,NA,NA,0.1175,0.06,0.0001891,NA,NA,NA,0.0004268,0.0006159,NA,NA,NA,0.0002035,0.0008194,NA,0.028228094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2012,"Miranda, New Zealand",-37.25,175.3,TempRF,NA,NA,NA,NA,Knightia excelsa,Knightia excelsa,Proteaceae,EA,FW,NA,NA,NA,0.0033,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45E-05,NA,NA,0.01089352,0.032217898,0.098,0,0.00559,NA,NA,0.117771221,0.098,0.000329,NA,NA,NA,0.000123,0.000452,NA,NA,NA,0.000221,0.000673,0.00029948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2012,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,NA,NA,NA,Lomatia hirsuta,Lomatia hirsuta,Proteaceae,EA,FW,NA,NA,NA,0.01162,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.07E-06,NA,NA,0.010922677,0.026204488,0.115,0.016086737,0.003,NA,NA,0.117928725,0.098913263,0.001644,NA,NA,NA,0.000605,0.002249,NA,NA,NA,0.000777,0.003026,0.000774619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delagrange0000a,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,plot_ID = 129; Subplot_ID = E,NA,Fagus grandifolia,Fagus grandifolia,Fagaceae,DA,FE,2,under 20% PPFD,NA,0.019005,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.38E-05,NA,NA,0.010982272,NA,0.295,0.205,0.0055,NA,NA,0.11825,0.09,0.000707,NA,NA,NA,0.002073,0.00278,NA,NA,NA,0.001621,0.004401,NA,0.037200737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poorter1999,"Riberalta, Bolivia",-11,-66,TropRF,1780,27,NA,NA,Pouteria sp.,Pouteria sp.,Sapotaceae,EA,CG,NA,100,NA,0.0115,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02E-05,NA,NA,0.0113,NA,0.27,0.22,0.0036,NA,NA,0.118321596,0.05,0.000725,NA,NA,NA,0.001305,0.00203,NA,NA,NA,0.00201,0.00404,0.00288,0.063,470,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delagrange0000a,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,plot_ID = 116; Subplot_ID = A,NA,Fagus grandifolia,Fagus grandifolia,Fagaceae,DA,FE,2,under 8% PPFD,NA,0.004459,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.14E-06,NA,NA,0.011122023,NA,0.26,0.085,0.002,NA,NA,0.119,0.175,0.0001307,NA,NA,NA,0.0005649,0.0006956,NA,NA,NA,0.0001835,0.0008791,NA,0.029311505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aiba2005,"Lambir Hills National Park, Sarawak, Malaysia",4.03,113.83,TropRF,2700,26,NA,NA,Shorea curtisii,Shorea curtisii,Dipterocarpaceae,EA,FW,0,NA,NA,0.0036,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.14E-06,NA,NA,0.0112,NA,0.25,0.15,0.002,NA,NA,0.119416426,0.1,0.00016,NA,NA,NA,0.00021,0.00037,0,NA,NA,8.00E-05,0.00045,8.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aiba2005,"Lambir Hills National Park, Sarawak, Malaysia",4.03,113.83,TropRF,2700,26,NA,NA,Shorea bracteata,Shorea bracteata,Dipterocarpaceae,EA,FW,0,NA,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.14E-06,NA,NA,0.0112,NA,0.18,0.14,0.002,NA,NA,0.119416426,0.04,0.00034,NA,NA,NA,0.00022,0.00056,5.00E-05,NA,NA,0.00016,0.00072,5.00E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,3500,NA,NA,NA,Myrceugenia planipes,Myrceugenia planipes,Myrtaceae,EA,FW,NA,NA,NA,0.00877,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.55E-06,NA,NA,0.011205634,0.043281089,0.219,0.073174781,0.0033,NA,NA,0.119446458,0.145825219,0.000823,NA,NA,NA,0.000543,0.001366,NA,NA,NA,0.000525,0.001891,0.00056435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poorter1999,"Riberalta, Bolivia",-11,-66,TropRF,1780,27,NA,NA,Euterpe precatoria,Euterpe precatoria,Aracaceae,EA,CG,NA,100,NA,0.0039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0113,NA,0.085,NA,NA,NA,NA,0.119582607,NA,0.000196,NA,NA,NA,0.000192,0.000388,NA,NA,NA,0.000149,0.000537,0.0013,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aiba2005,"Lambir Hills National Park, Sarawak, Malaysia",4.03,113.83,TropRF,2700,26,NA,NA,Shorea ovalis,Shorea ovalis,Dipterocarpaceae,EA,FW,0,NA,NA,0.0038,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.31E-06,NA,NA,0.0113,NA,0.21,0.2,0.0026,NA,NA,0.119948351,0.01,0.00018,NA,NA,NA,0.00046,0.00064,0,NA,NA,0.00019,0.00083,0.0012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delagrange0000a,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,plot_ID = 128; Subplot_ID = B,NA,Acer saccharum,Acer saccharum,Aceraceae,DA,FW,0,under 8% PPFD,NA,0.006516,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.14E-06,NA,NA,0.011309734,NA,0.135,0.05,0.002,NA,NA,0.12,0.085,0.000168,NA,NA,NA,0.000148,0.000316,NA,NA,NA,3.80E-05,0.000354,NA,0.025782689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kohyama1994,"Yakushima Island, Kyushu, Japan",30.34678,130.5164,TempRF,NA,NA,NA,NA,Symplocos glauca,Symplocos glauca,Symplocaceae,EA,FW,0,NA,NA,0.00541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011309734,NA,0.15,NA,NA,NA,NA,0.12,NA,0.000221,NA,NA,NA,0.000154,0.000375,NA,NA,NA,0.000126,0.000501,NA,0.040849673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kohyama1994,"Yakushima Island, Kyushu, Japan",30.34678,130.5164,TempRF,NA,NA,NA,NA,Myrsine seguinii,Myrsine seguinii,Myrsinaceae,EA,FW,0,NA,NA,0.00278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011309734,NA,0.14,NA,NA,NA,NA,0.12,NA,0.000197,NA,NA,NA,0.000181,0.000378,NA,NA,NA,0.000121,0.000499,NA,0.070871722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kohyama1994,"Yakushima Island, Kyushu, Japan",30.34678,130.5164,TempRF,NA,NA,NA,NA,Illicium anisatsum,Illicium philippinense,Illicidaceae,EA,FW,0,NA,NA,0.00881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011309734,NA,0.11,NA,NA,NA,NA,0.12,NA,0.000426,NA,NA,NA,0.000188,0.000614,NA,NA,NA,0.000234,0.000848,NA,0.048355899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delagrange0000a,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,plot_ID = 127; Subplot_ID = C,NA,Acer saccharum,Acer saccharum,Aceraceae,DA,FE,2,under 8% PPFD,NA,0.004883,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54E-06,NA,NA,0.011309734,NA,0.132,0.06,0.0018,NA,NA,0.12,0.072,9.71E-05,NA,NA,NA,0.0002346,0.0003317,NA,NA,NA,0.0001049,0.0004366,NA,0.019885316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delagrange0000a,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,plot_ID = 142; Subplot_ID = A,NA,Fagus grandifolia,Fagus grandifolia,Fagaceae,DA,FE,2,under 20% PPFD,NA,0.006664,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.73E-06,NA,NA,0.011309734,NA,0.2,0.03,0.0027,NA,NA,0.12,0.17,0.000174,NA,NA,NA,0.000253,0.000427,NA,NA,NA,0.000286,0.000713,NA,0.026110444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kohyama1994,"Yakushima Island, Kyushu, Japan",30.34678,130.5164,TempRF,NA,NA,NA,NA,Illicium anisatsum,Illicium philippinense,Illicidaceae,EA,FW,0,NA,NA,0.00663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011309734,NA,0.135,NA,NA,NA,NA,0.12,NA,0.000393,NA,NA,NA,0.000266,0.000659,NA,NA,NA,0.000267,0.000926,NA,0.059276823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kohyama1994,"Yakushima Island, Kyushu, Japan",30.34678,130.5164,TempRF,NA,NA,NA,NA,Myrsine seguinii,Myrsine seguinii,Myrsinaceae,EA,FW,0,NA,NA,0.00609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011309734,NA,0.1,NA,NA,NA,NA,0.12,NA,4.00E-04,NA,NA,NA,0.000338,0.000738,NA,NA,NA,0.000231,0.000969,NA,0.065659882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delagrange0000a,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,plot_ID = 102; Subplot_ID = D,NA,Acer saccharum,Acer saccharum,Aceraceae,DA,FW,0,under 20% PPFD,NA,0.005908,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.07E-06,NA,NA,0.011309734,NA,0.155,0.11,0.003,NA,NA,0.12,0.045,0.000182,NA,NA,NA,0.000416,0.000598,NA,NA,NA,0.000333,0.000931,NA,0.030805687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delagrange0000b,"Outaouais, Quebec, Canada",45.99722222,-75.325,TempF,870,3.9,Site = B2; Seedbed = DWM,NA,Betula alleghaniensis,Betula alleghaniensis,Betulaceae,DA,FW,0,13.52,7,0.030084001,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.58E-05,NA,NA,0.011309734,NA,0.37,0.03,0.00448,NA,NA,0.12,0.34,0.00079,NA,NA,NA,0.00057,0.00136,0.00012,0.00018,0.00031,0.00049,0.00185,NA,0.026259806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kohyama1994,"Yakushima Island, Kyushu, Japan",30.34678,130.5164,TempRF,NA,NA,NA,NA,Myrsine seguinii,Myrsine seguinii,Myrsinaceae,EA,FW,0,NA,NA,0.00278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011309734,NA,0.185,NA,NA,NA,NA,0.12,NA,0.000194,NA,NA,NA,0.000611,0.000805,NA,NA,NA,0.000895,0.0017,NA,0.069783671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poorter1999,"Riberalta, Bolivia",-11,-66,TropRF,1780,27,NA,NA,Aspidosperma tambopatense,Aspidosperma parvifolium,Apocynaceae,EA,CG,NA,100,NA,0.00765,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73E-05,NA,NA,0.0133,NA,0.165,0.14,0.0047,NA,NA,0.12,0.025,0.000575,NA,NA,NA,9.00E-04,0.001475,NA,NA,NA,0.000826,0.002301,0.00191,0.075,310,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delagrange0000a,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,plot_ID = 130; Subplot_ID = B,NA,Fagus grandifolia,Fagus grandifolia,Fagaceae,DA,FE,2,under 8% PPFD,NA,0.012014,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33E-06,NA,NA,0.011309734,NA,0.269,0.105,0.0013,NA,NA,0.12,0.164,0.0003832,NA,NA,NA,0.0011629,0.0015461,NA,NA,NA,0.0002819,0.001828,NA,0.031896121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kohyama1994,"Yakushima Island, Kyushu, Japan",30.34678,130.5164,TempRF,NA,NA,NA,NA,Distylium racemosum,Distylium racemosum,Hamamelidaceae,EA,FW,0,NA,NA,0.0061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011309734,NA,0.21,NA,NA,NA,NA,0.12,NA,0.00059,NA,NA,NA,0.001366,0.001956,NA,NA,NA,0.000678,0.002634,NA,0.096711799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,3500,NA,NA,NA,Laureliopsis philippiana,Laureliopsis philippiana,Atherospermataceae,EA,FW,NA,NA,NA,0.01392,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.95E-06,NA,NA,0.011445333,0.037765194,0.254,0.116664638,0.00356,NA,NA,0.120717234,0.137335362,0.000989,NA,NA,NA,0.000527,0.001516,NA,NA,NA,0.000517,0.002033,0.000522924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,3500,NA,NA,NA,Laureliopsis philippiana,Laureliopsis philippiana,Atherospermataceae,EA,FW,NA,NA,NA,0.00603,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.46E-06,NA,NA,0.011450459,0.028222271,0.105,0.009581026,0.0021,NA,NA,0.120744264,0.095418974,0.000334,NA,NA,NA,1.00E-04,0.000434,NA,NA,NA,0.000138,0.000572,0.000502659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delagrange0000a,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,plot_ID = 106; Subplot_ID = C,NA,Fagus grandifolia,Fagus grandifolia,Fagaceae,DA,FW,0,under 20% PPFD,NA,0.005026,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26E-05,NA,NA,0.011499015,NA,0.19,0.045,0.004,NA,NA,0.121,0.145,0.000248,NA,NA,NA,0.000801,0.001049,NA,NA,NA,0.000883,0.001932,NA,0.049343414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delagrange0000a,"Outaouais, Quebec, Canada",46.12777778,-75.15666667,TempF,870,3.9,plot_ID = 101; Subplot_ID = D,NA,Fagus grandifolia,Fagus grandifolia,Fagaceae,DA,FE,2,between 20 and 80% PPFD,NA,0.010268,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.04E-06,NA,NA,0.011499015,NA,0.265,0.22,0.0032,NA,NA,0.121,0.045,0.0003494,NA,NA,NA,0.0014605,0.0018099,NA,NA,NA,NA,NA,NA,0.034028048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,3500,NA,NA,NA,Nothofagus dombeyi,Nothofagus dombeyi,Nothofagaceae,EA,FW,NA,NA,NA,0.00875,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19E-05,NA,NA,0.011552554,0.063765304,0.441,0.148304656,0.00389,NA,NA,0.121281361,0.292695344,0.00049,NA,NA,NA,0.00074,0.00123,NA,NA,NA,0.00044,0.00167,0.000186242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2012,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,NA,NA,NA,NA,Drimys winteri,Drimys winteri,Winteraceae,EA,FW,NA,NA,NA,0.00589,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.62E-06,NA,NA,0.011585757,0.045977155,0.136,0,0.0035,NA,NA,0.121455523,0.136,0.000702,NA,NA,NA,0.000343,0.001045,NA,NA,NA,0.000386,0.001431,0.000392791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2012,"Miranda, New Zealand",-37.25,175.3,TempRF,NA,NA,NA,NA,Agathis australis,Agathis australis,Araucariaceae,EG,FW,NA,NA,NA,0.00463,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.97E-05,NA,NA,0.011590125,0.031157096,0.21,0.120966713,0.00711,NA,NA,0.121478416,0.089033287,0.000605,NA,NA,NA,0.000826,0.001431,NA,NA,NA,0.000965,0.002396,0.000271995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lusk2011,"Parque Nacional Puyehue, Chile",-40.65,-72.18,TempRF,3500,NA,NA,NA,Myrceugenia planipes,Myrceugenia planipes,Myrtaceae,EA,FW,NA,NA,NA,0.01161,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08E-05,NA,NA,0.011596017,0.056687876,0.198,0,0.00371,NA,NA,0.121509289,0.198,0.001134,NA,NA,NA,0.00063,0.001764,NA,NA,NA,0.00096,0.002724,0.000504951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
